一	heng	hv
𩢁	bama	bm
𩢂	shuangma	sm
𩢃	mayou	my
𩢄	mayuan	my
𩢅	mage	mg
𩢆	makao	mk
𩢇	majin	mj
𩢈	mashi	ms
𩢉	huma	hm
𩢊	mali	ml
𩢋	mayue	my
𩢌	wenma	wm
𩢍	magua	mg
𩢎	machu	mc
𩢏	makou	mk
𩢐	mazha	mz
𩢑	cima	cm
𩢒	mayou	my
𩢓	mayi	my
𩢔	maban	mb
𩢕	maben	mb
𩢖	mamo	mm
𩢗	gongma	gm
𩢘	mapo	mp
𩢙	dama	dm
𩢚	macha	mc
𩢛	maren	mr
𩢜	maxiao	mx
𩢝	mapian	mp
𩢞	maer	me
𩢟	makou	mk
𩢠	taima	tm
𩢡	maran	mr
𩢢	mazhi	mz
𩢣	makui	mk
𩢤	mayu	my
𩢥	yangma	ym
𩢦	madong	md
𩢧	maqu	mq
𩢨	magan	mg
𩢩	mashang	ms
𩢪	magu	mg
𩢫	shengma	sm
𩢬	malu	ml
𩢭	maci	mc
𩢮	xiuma	xm
𩢯	machuan	mc
𩢰	mafu	mf
𩢱	mahui	mh
𩢲	mali	ml
𩢳	yuma	ym
𩢴	maji	mj
𩢵	mazhai	mz
𩢶	mari	mr
𩢷	mabai	mb
𩢸	mazhou	mz
𩢹	majiu	mj
𩢺	mayue	my
𩢻	zhuma	zm
𩢼	makuang	mk
𩢽	gongma	gm
𩢾	liema	lm
𩢿	mafou	mf
𩣀	marou	mr
𩣁	manei	mn
𩣂	xianma	xm
𩣃	mashan	ms
𩣄	mabi	mb
𩣅	jiuma	jm
𩣆	mayang	my
𩣇	mahuang	mh
𩣈	renma	rm
𩣉	ruma	rm
𩣊	maxu	mx
𩣋	mayou	my
𩣌	maye	my
𩣍	mayang	my
𩣎	bima	bm
𩣏	chuanma	cm
𩣐	huangma	hm
𩣑	maan	ma
𩣒	madao	md
𩣓	mapu	mp
𩣔	makua	mk
𩣕	majiang	mj
𩣖	malin	ml
𩣗	qiuma	qm
𩣘	maer	me
𩣙	mashen	ms
𩣚	mafou	mf
𩣛	mabi	mb
𩣜	mazhi	mz
𩣝	mabu	mb
𩣞	maji	mj
𩣟	shama	sm
𩣠	shama	sm
𩣡	mabo	mb
𩣢	macong	mc
𩣣	woma	wm
𩣤	marong	mr
𩣥	magu	mg
𩣦	mamian	mm
𩣧	matuo	mt
𩣨	woma	wm
𩣩	mazhe	mz
𩣪	majing	mj
𩣫	mali	ml
𩣬	mayou	my
𩣭	maxin	mx
𩣮	matu	mt
𩣯	mada	md
𩣰	mashi	ms
𩣱	malu	ml
𩣲	madian	md
𩣳	madong	md
𩣴	maqu	mq
𩣵	mawan	mw
𩣶	mingma	mm
𩣷	chuima	cm
𩣸	mafu	mf
𩣹	quma	qm
𩣺	maben	mb
𩣻	caoma	cm
𩣼	makong	mk
𩣽	maju	mj
𩣾	maye	my
𩣿	machou	mc
𩤀	mabing	mb
𩤁	maqun	mq
𩤂	maxian	mx
𩤃	maya	my
𩤄	dabao	db
𩤅	maju	mj
𩤆	linma	lm
𩤇	malun	ml
𩤈	maxi	mx
𩤉	mahua	mh
𩤊	majian	mj
𩤋	mamu	mm
𩤌	huma	hm
𩤍	macao	mc
𩤎	madian	md
𩤏	mazu	mz
𩤐	mafang	mf
𩤑	maxin	mx
𩤒	mayi	my
𩤓	maqu	mq
𩤔	mayan	my
𩤕	mabiao	mb
𩤖	maer	me
𩤗	mamao	mm
𩤘	maxin	mx
𩤙	mating	mt
𩤚	maduan	md
𩤛	mayu	my
𩤜	mazhe	mz
𩤝	mawen	mw
𩤞	mashen	ms
𩤟	mayang	my
𩤠	majie	mj
𩤡	xuanma	xm
𩤢	madi	md
𩤣	maduan	md
𩤤	mianma	mm
𩤥	maxian	mx
𩤦	nvma	nm
𩤧	matan	mt
𩤨	maqin	mq
𩤩	kema	km
𩤪	mashan	ms
𩤫	magong	mg
𩤬	majiong	mj
𩤭	majia	mj
𩤮	mawei	mw
𩤯	yingma	ym
𩤰	quma	qm
𩤱	mayou	my
𩤲	mala	ml
𩤳	mapu	mp
𩤴	malong	ml
𩤵	maxing	mx
𩤶	mamao	mm
𩤷	maya	my
𩤸	mawei	mw
𩤹	maxiang	mx
𩤺	yuma	ym
𩤻	mafu	mf
𩤼	maya	my
𩤽	mahu	mh
𩤾	maqian	mq
𩤿	mayou	my
𩥀	maqi	mq
𩥁	matang	mt
𩥂	maqi	mq
𩥃	mashi	ms
𩥄	mazhen	mz
𩥅	mayao	my
𩥆	malv	ml
𩥇	mazhan	mz
𩥈	mawen	mw
𩥉	maqi	mq
𩥊	gaoma	gm
𩥋	mama	mm
𩥌	mahai	mh
𩥍	maniu	mn
𩥎	mawu	mw
𩥏	mazhi	mz
𩥐	mashi	ms
𩥑	mata	mt
𩥒	machuan	mc
𩥓	yaoma	ym
𩥔	yuema	ym
𩥕	majin	mj
𩥖	liuma	lm
𩥗	macong	mc
𩥘	mayou	my
𩥙	macha	mc
𩥚	maqin	mq
𩥛	maweng	mw
𩥜	mapai	mp
𩥝	mazi	mz
𩥞	qima	qm
𩥟	mashi	ms
𩥠	mada	md
𩥡	xiyue	xy
𩥢	guima	gm
𩥣	mayao	my
𩥤	mazhui	mz
𩥥	mabo	mb
𩥦	wuma	wm
𩥧	mawang	mw
𩥨	macong	mc
𩥩	maruo	mr
𩥪	mafeng	mf
𩥫	machong	mc
𩥬	mali	ml
𩥭	mayu	my
𩥮	machan	mc
𩥯	yima	ym
𩥰	mada	md
𩥱	mashui	ms
𩥲	mafu	mf
𩥳	macheng	mc
𩥴	mali	ml
𩥵	maxiao	mx
𩥶	masu	ms
𩥷	mazong	mz
𩥸	mayue	my
𩥹	mawen	mw
𩥺	matian	mt
𩥻	mayong	my
𩥼	maqi	mq
𩥽	matu	mt
𩥾	macong	mc
𩥿	masu	ms
𩦀	mali	ml
𩦁	macong	mc
𩦂	majian	mj
𩦃	maxian	mx
𩦄	mali	ml
𩦅	mali	ml
𩦆	majie	mj
𩦇	maxi	mx
𩦈	mahuo	mh
𩦉	bima	bm
𩦊	mahan	mh
𩦋	maji	mj
𩦌	masang	ms
𩦍	tongma	tm
𩦎	mafei	mf
𩦏	mahe	mh
𩦐	mashan	ms
𩦑	makou	mk
𩦒	majue	mj
𩦓	makai	mk
𩦔	manao	mn
𩦕	madou	md
𩦖	maxun	mx
𩦗	macui	mc
𩦘	mazhui	mz
𩦙	mashi	ms
𩦚	maliao	ml
𩦛	congma	cm
𩦜	shengma	sm
𩦝	masheng	ms
𩦞	mage	mg
𩦟	makui	mk
𩦠	mapiao	mp
𩦡	yuma	ym
𩦢	mawu	mw
𩦣	mading	md
𩦤	mage	mg
𩦥	maben	mb
𩦦	mazang	mz
𩦧	mafang	mf
𩦨	jiaoma	jm
𩦩	majuan	mj
𩦪	majing	mj
𩦫	maniao	mn
𩦬	mazu	mz
𩦭	maye	my
𩦮	mahuan	mh
𩦯	magan	mg
𩦰	makui	mk
𩦱	mahui	mh
𩦲	mawen	mw
𩦳	mayi	my
𩦴	manao	mn
𩦵	guangma	gm
𩦶	huma	hm
𩦷	majie	mj
𩦸	mayi	my
𩦹	majian	mj
𩦺	mameng	mm
𩦻	renma	rm
𩦼	mazhui	mz
𩦽	matai	mt
𩦾	macun	mc
𩦿	mabin	mb
𩧀	macheng	mc
𩧁	macong	mc
𩧂	male	ml
𩧃	mali	ml
𩧄	mazhi	mz
𩧅	mafan	mf
𩧆	malie	ml
𩧇	macai	mc
𩧈	mamai	mm
𩧉	maguang	mg
𩧊	mawen	mw
𩧋	mali	ml
𩧌	mashu	ms
𩧍	malei	ml
𩧎	magui	mg
𩧏	mahuo	mh
𩧐	mamu	mm
𩧑	malong	ml
𩧒	maniao	mn
𩧓	maxiao	mx
𩧔	yanma	ym
𩧕	chema	cm
𩧖	masi	ms
𩧗	machi	mc
𩧘	maqu	mq
𩧙	mamie	mm
𩧚	quma	qm
𩧛	mayan	my
𩧜	mazhuan	mz
𩧝	magong	mg
𩧞	maniu	mn
𩧟	mahuo	mh
𩧠	maniu	mn
𩧡	quma	qm
𩧢	mama	mm
𩧣	magan	mg
𩧤	makou	mk
𩧥	malv	ml
𩧦	majie	mj
𩧧	mali	ml
𩧨	mayou	my
𩧩	majian	mj
𩧪	malong	ml
𩧫	mayang	my
𩧬	maran	mr
𩧭	mashi	ms
𩧮	liema	lm
𩧯	mafa	mf
𩧰	majun	mj
𩧱	maqi	mq
𩧲	matong	mt
𩧳	mazhou	mz
𩧴	maquan	mq
𩧵	maji	mj
𩧶	chuanma	cm
𩧷	laoma	lm
𩧸	lima	lm
𩧹	mali	ml
𩧺	maju	mj
𩧻	mabi	mb
𩧼	maben	mb
𩧽	magu	mg
𩧾	matu	mt
𩧿	mafu	mf
𩨀	mahe	mh
𩨁	machun	mc
𩨂	mazong	mz
𩨃	majian	mj
𩨄	masou	ms
𩨅	mawei	mw
𩨆	mating	mt
𩨇	malou	ml
𩨈	mayu	my
𩨉	mala	ml
𩨊	maqian	mq
𩨋	mazhen	mz
𩨌	mata	mt
𩨍	mazhan	mz
𩨎	mayi	my
𩨏	mafan	mf
𩨐	malie	ml
𩨑	guding	gd
𩨒	guji	gj
𩨓	gubu	gb
𩨔	jiugu	jg
𩨕	guyi	gy
𩨖	guxun	gx
𩨗	gukui	gk
𩨘	guqi	gq
𩨙	gugong	gg
𩨚	gunv	gn
𩨛	gutuo	gt
𩨜	guba	gb
𩨝	guzhi	gz
𩨞	guji	gj
𩨟	guyao	gy
𩨠	guya	gy
𩨡	gushao	gs
𩨢	guzhao	gz
𩨣	gufang	gf
𩨤	guyao	gy
𩨥	guyin	gy
𩨦	guxi	gx
𩨧	guli	gl
𩨨	gubi	gb
𩨩	gufan	gf
𩨪	gubao	gb
𩨫	guyin	gy
𩨬	guxuan	gx
𩨭	guta	gt
𩨮	shangu	sg
𩨯	guchi	gc
𩨰	gushi	gs
𩨱	cigu	cg
𩨲	gubi	gb
𩨳	chugu	cg
𩨴	guhao	gh
𩨵	guzhi	gz
𩨶	guna	gn
𩨷	gubi	gb
𩨸	guchu	gc
𩨹	gujia	gj
𩨺	guji	gj
𩨻	guzhu	gz
𩨼	guqiu	gq
𩨽	guzhui	gz
𩨾	guwei	gw
𩨿	guhui	gh
𩩀	gushan	gs
𩩁	guchong	gc
𩩂	guhe	gh
𩩃	gugan	gg
𩩄	gukai	gk
𩩅	gutong	gt
𩩆	guxue	gx
𩩇	chonggu	cg
𩩈	guhui	gh
𩩉	guxiao	gx
𩩊	guhan	gh
𩩋	gujing	gj
𩩌	guxi	gx
𩩍	gupin	gp
𩩎	gukou	gk
𩩏	guba	gb
𩩐	guyuan	gy
𩩑	guwu	gw
𩩒	gushi	gs
𩩓	guxiao	gx
𩩔	guzu	gz
𩩕	gumao	gm
𩩖	gunong	gn
𩩗	gushe	gs
𩩘	yugu	yg
𩩙	gushi	gs
𩩚	gubi	gb
𩩛	guqi	gq
𩩜	ergu	eg
𩩝	gukong	gk
𩩞	guchui	gc
𩩟	guzhuo	gz
𩩠	guzu	gz
𩩡	guling	gl
𩩢	guer	ge
𩩣	guyu	gy
𩩤	guya	gy
𩩥	gumu	gm
𩩦	guyu	gy
𩩧	guyan	gy
𩩨	guchuan	gc
𩩩	gubiao	gb
𩩪	changgu	cg
𩩫	guchang	gc
𩩬	kegu	kg
𩩭	gusheng	gs
𩩮	gudu	gd
𩩯	gubian	gb
𩩰	gujie	gj
𩩱	gujia	gj
𩩲	guhe	gh
𩩳	guzhong	gz
𩩴	guxian	gx
𩩵	guhou	gh
𩩶	gushi	gs
𩩷	guyan	gy
𩩸	guge	gg
𩩹	gupu	gp
𩩺	guquan	gq
𩩻	gudun	gd
𩩼	guyue	gy
𩩽	guhou	gh
𩩾	guyi	gy
𩩿	guyin	gy
𩪀	guzhui	gz
𩪁	gugui	gg
𩪂	guqi	gq
𩪃	guhai	gh
𩪄	guzuo	gz
𩪅	gubi	gb
𩪆	gugu	gg
𩪇	gubei	gb
𩪈	gusuo	gs
𩪉	gulu	gl
𩪊	gupiao	gp
𩪋	aogu	ag
𩪌	gufeng	gf
𩪍	guqu	gq
𩪎	gumang	gm
𩪏	gurou	gr
𩪐	guguo	gg
𩪑	guchao	gc
𩪒	gugong	gg
𩪓	gucui	gc
𩪔	shigu	sg
𩪕	guao	ga
𩪖	gubi	gb
𩪗	gujue	gj
𩪘	gutong	gt
𩪙	gukou	gk
𩪚	guliao	gl
𩪛	gupu	gp
𩪜	juegu	jg
𩪝	gutu	gt
𩪞	guxun	gx
𩪟	gukou	gk
𩪠	guanggu	gg
𩪡	diangu	dg
𩪢	guqian	gq
𩪣	guyi	gy
𩪤	guye	gy
𩪥	guling	gl
𩪦	guzuo	gz
𩪧	gubi	gb
𩪨	chugu	cg
𩪩	gukou	gk
𩪪	guhei	gh
𩪫	guwei	gw
𩪬	gulian	gl
𩪭	guhuo	gh
𩪮	gume	gm
𩪯	gubin	gb
𩪰	guxu	gx
𩪱	guxun	gx
𩪲	guchi	gc
𩪳	gugong	gg
𩪴	guyang	gy
𩪵	gushu	gs
𩪶	gujie	gj
𩪷	gusui	gs
𩪸	guli	gl
𩪹	gubei	gb
𩪺	guyun	gy
𩪻	gumie	gm
𩪼	guguan	gg
𩪽	guduan	gd
𩪾	luangu	lg
𩪿	gaowan	gw
𩫀	gaoda	gd
𩫁	gaomao	gm
𩫂	gaokong	gk
𩫃	erzi	ez
𩫄	gaodou	gd
𩫅	gaoge	gg
𩫆	gaosheng	gs
𩫇	bugao	bg
𩫈	gaoquan	gq
𩫉	daogao	dg
𩫊	gaotu	gt
𩫋	gaopi	gp
𩫌	gaojiong	gj
𩫍	gaosheng	gs
𩫎	gaojin	gj
𩫏	ershi	es
𩫐	binggao	bg
𩫑	gaobing	gb
𩫒	gaojin	gj
𩫓	gaosi	gs
𩫔	gaozhi	gz
𩫕	gaoshi	gs
𩫖	erkou	ek
𩫗	gaohui	gh
𩫘	gaoyuan	gy
𩫙	gaoshen	gs
𩫚	gaojin	gj
𩫛	gaozu	gz
𩫜	gaotian	gt
𩫝	gaobei	gb
𩫞	gaotuan	gt
𩫟	gaotu	gt
𩫠	erjue	ej
𩫡	gaogen	gg
𩫢	gaogong	gg
𩫣	gaoyuan	gy
𩫤	gaojie	gj
𩫥	chaogao	cg
𩫦	gaocan	gc
𩫧	ergen	eg
𩫨	ercheng	ec
𩫩	eryi	ey
𩫪	gaobei	gb
𩫫	erbei	eb
𩫬	gaobi	gb
𩫭	erzhe	ez
𩫮	gaobei	gb
𩫯	erfu	ef
𩫰	erlou	el
𩫱	eryong	ey
𩫲	gaochong	gc
𩫳	yegao	yg
𩫴	biaojiu	bj
𩫵	biaoba	bb
𩫶	biaoliao	bl
𩫷	biaobi	bb
𩫸	biaoli	bl
𩫹	biaojin	bj
𩫺	biaoshan	bs
𩫻	biaoji	bj
𩫼	biaofan	bf
𩫽	biaotu	bt
𩫾	biaoya	by
𩫿	biaoza	bz
𩬀	biaonei	bn
𩬁	biaoshi	bs
𩬂	changchuo	cc
𩬃	biaoyao	by
𩬄	biaozhi	bz
𩬅	biaodan	bd
𩬆	biaogai	bg
𩬇	biaoquan	bq
𩬈	biaobi	bb
𩬉	biaofen	bf
𩬊	biaohuo	bh
𩬋	biaoshi	bs
𩬌	biaoyun	by
𩬍	biaowu	bw
𩬎	biaoren	br
𩬏	biaoyue	by
𩬐	biaozhao	bz
𩬑	biaozhan	bz
𩬒	biaojin	bj
𩬓	biaojin	bj
𩬔	biaoling	bl
𩬕	biaowu	bw
𩬖	biaozhen	bz
𩬗	biaoyou	by
𩬘	biaoer	be
𩬙	biaofu	bf
𩬚	biaogan	bg
𩬛	biaoji	bj
𩬜	biaojiu	bj
𩬝	biaobing	bb
𩬞	biaomu	bm
𩬟	biaozha	bz
𩬠	biaotai	bt
𩬡	biaoqiu	bq
𩬢	biaochu	bc
𩬣	biaojing	bj
𩬤	biaolong	bl
𩬥	biaoce	bc
𩬦	biaoli	bl
𩬧	biaozheng	bz
𩬨	biaoqu	bq
𩬩	biaogu	bg
𩬪	biaofa	bf
𩬫	biaozhi	bz
𩬬	biaomin	bm
𩬭	biaoshi	bs
𩬮	biaoyong	by
𩬯	biaoxiao	bx
𩬰	biaogong	bg
𩬱	biaozhao	bz
𩬲	biaoye	by
𩬳	biaorou	br
𩬴	biaoshi	bs
𩬵	biaoyin	by
𩬶	biaoyu	by
𩬷	biaoshan	bs
𩬸	biaoni	bn
𩬹	biaokuang	bk
𩬺	biaozhi	bz
𩬻	biaoduo	bd
𩬼	biaocong	bc
𩬽	biaomu	bm
𩬾	biaoya	by
𩬿	biaoyi	by
𩭀	biaoyou	by
𩭁	biaochuan	bc
𩭂	biaoguang	bg
𩭃	biaochong	bc
𩭄	biaomi	bm
𩭅	biaoyu	by
𩭆	biaohe	bh
𩭇	biaoli	bl
𩭈	biaozi	bz
𩭉	biaoxi	bx
𩭊	biaoju	bj
𩭋	biaokun	bk
𩭌	biaojia	bj
𩭍	biaofou	bf
𩭎	biaowan	bw
𩭏	biaotuo	bt
𩭐	biaoshi	bs
𩭑	biaochi	bc
𩭒	biaolong	bl
𩭓	biaoyou	by
𩭔	biaofang	bf
𩭕	biaoyun	by
𩭖	biaoxing	bx
𩭗	biaofu	bf
𩭘	biaocai	bc
𩭙	biaojing	bj
𩭚	biaodai	bd
𩭛	biaojiao	bj
𩭜	biaochui	bc
𩭝	biaowo	bw
𩭞	biaoli	bl
𩭟	biaozhuo	bz
𩭠	biaojian	bj
𩭡	biaoxi	bx
𩭢	biaoan	ba
𩭣	biaoda	bd
𩭤	biaoxin	bx
𩭥	biaoxian	bx
𩭦	biaochui	bc
𩭧	biaobei	bb
𩭨	biaochang	bc
𩭩	biaodong	bd
𩭪	biaoqu	bq
𩭫	biaoliang	bl
𩭬	biaofo	bf
𩭭	biaokun	bk
𩭮	biaonian	bn
𩭯	biaoya	by
𩭰	biaori	br
𩭱	biaori	br
𩭲	biaode	bd
𩭳	biaohu	bh
𩭴	biaokong	bk
𩭵	biaoguan	bg
𩭶	biaoyou	by
𩭷	biaolai	bl
𩭸	biaofou	bf
𩭹	biaocan	bc
𩭺	biaofu	bf
𩭻	biaori	br
𩭼	biaobao	bb
𩭽	biaoke	bk
𩭾	biaowen	bw
𩭿	biaobei	bb
𩮀	biaocong	bc
𩮁	biaoqi	bq
𩮂	biaohe	bh
𩮃	biaoyou	by
𩮄	biaomao	bm
𩮅	biaoduo	bd
𩮆	biaoze	bz
𩮇	biaofang	bf
𩮈	biaoqiu	bq
𩮉	biaocha	bc
𩮊	biaoyong	by
𩮋	biaoyin	by
𩮌	biaoxiang	bx
𩮍	biaoshi	bs
𩮎	biaocha	bc
𩮏	biaoxian	bx
𩮐	biaoyu	by
𩮑	biaoguo	bg
𩮒	biaofang	bf
𩮓	biaoyong	by
𩮔	biaojun	bj
𩮕	biaoqin	bq
𩮖	biaoqi	bq
𩮗	biaoli	bl
𩮘	biaogao	bg
𩮙	biaorong	br
𩮚	biaozao	bz
𩮛	biaosuo	bs
𩮜	biaoti	bt
𩮝	biaohai	bh
𩮞	biaoli	bl
𩮟	biaocong	bc
𩮠	biaorong	br
𩮡	biaoshi	bs
𩮢	biaotu	bt
𩮣	biaozhou	bz
𩮤	biaoba	bb
𩮥	biaoshui	bs
𩮦	biaoji	bj
𩮧	biaosang	bs
𩮨	biaohe	bh
𩮩	biaocang	bc
𩮪	biaoxin	bx
𩮫	biaosha	bs
𩮬	biaoweng	bw
𩮭	biaoshi	bs
𩮮	biaowu	bw
𩮯	biaoao	ba
𩮰	biaoxin	bx
𩮱	biaochong	bc
𩮲	biaochan	bc
𩮳	biaopiao	bp
𩮴	biaocui	bc
𩮵	yibiao	yb
𩮶	biaoqian	bq
𩮷	biaodou	bd
𩮸	biaowen	bw
𩮹	biaolei	bl
𩮺	biaoli	bl
𩮻	biaoyi	by
𩮼	biaowu	bw
𩮽	biaofu	bf
𩮾	biaoyi	by
𩮿	biaozhi	bz
𩯀	biaosu	bs
𩯁	biaolou	bl
𩯂	biaoji	bj
𩯃	biaofei	bf
𩯄	biaozun	bz
𩯅	biaofu	bf
𩯆	biaoyao	by
𩯇	biaodeng	bd
𩯈	biaoge	bg
𩯉	biaozui	bz
𩯊	biaoliao	bl
𩯋	biaoge	bg
𩯌	biaofa	bf
𩯍	biaoqu	bq
𩯎	biaosheng	bs
𩯏	biaopu	bp
𩯐	biaori	br
𩯑	biaoxin	bx
𩯒	biaobei	bb
𩯓	biaoyong	by
𩯔	biaomei	bm
𩯕	biaoshu	bs
𩯖	biaozong	bz
𩯗	biaohei	bh
𩯘	biaoqiao	bq
𩯙	biaoshi	bs
𩯚	biaosui	bs
𩯛	biaojiao	bj
𩯜	biaolu	bl
𩯝	biaoge	bg
𩯞	biaocan	bc
𩯟	biaozao	bz
𩯠	biaokou	bk
𩯡	biaoshu	bs
𩯢	biaoshou	bs
𩯣	biaowen	bw
𩯤	biaodan	bd
𩯥	biaohuo	bh
𩯦	biaoshou	bs
𩯧	biaocun	bc
𩯨	biaoer	be
𩯩	biaozang	bz
𩯪	biaoguan	bg
𩯫	biaobin	bb
𩯬	biaoli	bl
𩯭	biaobin	bb
𩯮	biaoman	bm
𩯯	biaomian	bm
𩯰	biaoge	bg
𩯱	biaobao	bb
𩯲	biaoxin	bx
𩯳	biaozan	bz
𩯴	biaoyuan	by
𩯵	biaoyi	by
𩯶	biaojiu	bj
𩯷	biaoge	bg
𩯸	biaogong	bg
𩯹	biaolei	bl
𩯺	biaoli	bl
𩯻	biaoer	be
𩯼	biaomeng	bm
𩯽	biaolai	bl
𩯾	biaofou	bf
𩯿	biaobei	bb
𩰀	biaolong	bl
𩰁	biaojiu	bj
𩰂	biaoling	bl
𩰃	biaotu	bt
𩰄	biaobin	bb
𩰅	biaocang	bc
𩰆	biaoqi	bq
𩰇	biaozhi	bz
𩰈	biaorao	br
𩰉	biaonang	bn
𩰊	wangyi	wy
𩰋	shuwang	sw
𩰌	douqi	dq
𩰍	doubian	db
𩰎	douge	dg
𩰏	doufen	df
𩰐	douxiao	dx
𩰑	douyou	dy
𩰒	doudou	dd
𩰓	douxiang	dx
𩰔	doujin	dj
𩰕	baer	be
𩰖	doujin	dj
𩰗	doubei	db
𩰘	dougui	dg
𩰙	douyu	dy
𩰚	douzhuo	dz
𩰛	dougu	dg
𩰜	douhuo	dh
𩰝	doubin	db
𩰞	douer	de
𩰟	douhuo	dh
𩰠	xiongpi	xp
𩰡	xiongshi	xs
𩰢	xiongli	xl
𩰣	zhaoyou	zy
𩰤	jubi	jb
𩰥	zhaoyou	zy
𩰦	muyou	my
𩰧	mushan	ms
𩰨	zhaocun	zc
𩰩	lincun	lc
𩰪	foushan	fs
𩰫	geniu	gn
𩰬	geniu	gn
𩰭	gege	gg
𩰮	gedou	gd
𩰯	gegu	gg
𩰰	gejing	gj
𩰱	yangge	yg
𩰲	gongge	gg
𩰳	gegui	gg
𩰴	geer	ge
𩰵	gegen	gg
𩰶	gehai	gh
𩰷	gexiong	gx
𩰸	gexue	gx
𩰹	gejing	gj
𩰺	gejun	gj
𩰻	geqiu	gq
𩰼	geyou	gy
𩰽	gejun	gj
𩰾	feige	fg
𩰿	fuge	fg
𩱀	caoge	cg
𩱁	yangge	yg
𩱂	gechou	gc
𩱃	gejian	gj
𩱄	geda	gd
𩱅	xiongge	xg
𩱆	nvge	ng
𩱇	gege	gg
𩱈	gechu	gc
𩱉	gewang	gw
𩱊	gehuo	gh
𩱋	gaoge	gg
𩱌	zhuge	zg
𩱍	guge	gg
𩱎	fuge	fg
𩱏	aoge	ag
𩱐	geshang	gs
𩱑	jiangge	jg
𩱒	gongge	gg
𩱓	erge	eg
𩱔	changge	cg
𩱕	xiange	xg
𩱖	shuge	sg
𩱗	youge	yg
𩱘	geqiu	gq
𩱙	mige	mg
𩱚	boge	bg
𩱛	gewen	gw
𩱜	chenge	cg
𩱝	geqiu	gq
𩱞	xiaoge	xg
𩱟	meige	mg
𩱠	gongge	gg
𩱡	kange	kg
𩱢	meige	mg
𩱣	feige	fg
𩱤	jiange	jg
𩱥	sange	sg
𩱦	chuge	cg
𩱧	gaoge	gg
𩱨	ruge	rg
𩱩	xiange	xg
𩱪	qiege	qg
𩱫	suge	sg
𩱬	linge	lg
𩱭	zengge	zg
𩱮	quge	qg
𩱯	mige	mg
𩱰	zhege	zg
𩱱	meige	mg
𩱲	dige	dg
𩱳	qige	qg
𩱴	yege	yg
𩱵	mige	mg
𩱶	huoge	hg
𩱷	mige	mg
𩱸	mige	mg
𩱹	guili	gl
𩱺	guier	ge
𩱻	guibu	gb
𩱼	jiugui	jg
𩱽	wugui	wg
𩱾	tuogui	tg
𩱿	wanggui	wg
𩲀	guishan	gs
𩲁	guixi	gx
𩲂	guier	ge
𩲃	guishao	gs
𩲄	yougui	yg
𩲅	guicun	gc
𩲆	guishan	gs
𩲇	guizi	gz
𩲈	guishan	gs
𩲉	wanggui	wg
𩲊	guimao	gm
𩲋	kanggui	kg
𩲌	fanggui	fg
𩲍	guiniu	gn
𩲎	guishao	gs
𩲏	rengui	rg
𩲐	guiwu	gw
𩲑	guiyun	gy
𩲒	guichang	gc
𩲓	guiyao	gy
𩲔	guishi	gs
𩲕	guihuo	gh
𩲖	bigui	bg
𩲗	guifeng	gf
𩲘	tugui	tg
𩲙	guimu	gm
𩲚	bugui	bg
𩲛	gaigui	gg
𩲜	huagui	hg
𩲝	guifen	gf
𩲞	guiyue	gy
𩲟	guiqian	gq
𩲠	guifang	gf
𩲡	shigui	sg
𩲢	guipi	gp
𩲣	jiagui	jg
𩲤	guizhao	gz
𩲥	guitai	gt
𩲦	guizhan	gz
𩲧	gonggui	gg
𩲨	cigui	cg
𩲩	guiling	gl
𩲪	guier	ge
𩲫	shigui	sg
𩲬	guiwu	gw
𩲭	guirong	gr
𩲮	guita	gt
𩲯	guiban	gb
𩲰	pogui	pg
𩲱	guigu	gg
𩲲	guiqie	gq
𩲳	guijia	gj
𩲴	guiyang	gy
𩲵	guisheng	gs
𩲶	shigui	sg
𩲷	guihe	gh
𩲸	baigui	bg
𩲹	guiren	gr
𩲺	guisha	gs
𩲻	guijiao	gj
𩲼	guihu	gh
𩲽	guier	ge
𩲾	yougui	yg
𩲿	guidao	gd
𩳀	guizhi	gz
𩳁	guanggui	gg
𩳂	guier	ge
𩳃	shagui	sg
𩳄	qugui	qg
𩳅	guizhu	gz
𩳆	guilei	gl
𩳇	guishu	gs
𩳈	zigui	zg
𩳉	guizhou	gz
𩳊	guiming	gm
𩳋	guihe	gh
𩳌	guiwu	gw
𩳍	guijing	gj
𩳎	guifu	gf
𩳏	zhigui	zg
𩳐	guifu	gf
𩳑	guisha	gs
𩳒	guishu	gs
𩳓	guili	gl
𩳔	xiaogui	xg
𩳕	guituo	gt
𩳖	guiju	gj
𩳗	guiwei	gw
𩳘	guisha	gs
𩳙	shagui	sg
𩳚	guiwan	gw
𩳛	guiche	gc
𩳜	guiyou	gy
𩳝	tungui	tg
𩳞	guiqiu	gq
𩳟	guishi	gs
𩳠	gegui	gg
𩳡	guilve	gl
𩳢	guiyan	gy
𩳣	guiqi	gq
𩳤	guichang	gc
𩳥	shigui	sg
𩳦	guizhi	gz
𩳧	yugui	yg
𩳨	guicun	gc
𩳩	guili	gl
𩳪	guisheng	gs
𩳫	guimi	gm
𩳬	fugui	fg
𩳭	guisi	gs
𩳮	yugui	yg
𩳯	guimao	gm
𩳰	guiren	gr
𩳱	guijiu	gj
𩳲	guichi	gc
𩳳	guilai	gl
𩳴	guigua	gg
𩳵	guiquan	gq
𩳶	yegui	yg
𩳷	guiwei	gw
𩳸	guimiao	gm
𩳹	guixi	gx
